N,n,MI
28,15,0.6846875341655494
8,19,2.7398948640872858
7,10,1.233912160507399
40,9,0.17083828532074652
50,17,0.6151480227795783
24,15,0.8980267037102594
10,17,2.797871987831067
5,7,1.2332837075077379
25,14,0.5320715617393859
5,7,1.3722209643017669
16,13,1.1712115803615322
4,12,4.1633777957102875
42,12,0.38529400631846406
21,3,0.15079044675602535
4,1,0.5361874946265041
35,10,0.5562200137885194
9,9,1.1664695686484017
42,10,0.2881635745536409
50,16,0.27851741131801283
46,14,0.42821208895532875
7,2,0.09672218964983456
21,14,0.5726443066502283
47,13,0.10393536697692873
17,14,1.2868213490211144
39,11,0.295359274939134
49,18,0.25406063002722684
16,15,0.9553068673033875
12,14,1.2036496871491948
50,8,0.1398031828671406
13,2,0.13831469532401494
47,1,0.025403172953487676
40,12,0.2574274049752461
8,2,0.16173061731829158
4,15,6.175265471228865
39,17,0.6793177621301183
6,14,4.36896089196361
17,16,0.9944135325706337
44,6,0.15169147129264896
22,11,0.5014571410368749
14,2,0.251569469399176
41,15,0.6557587928430432
37,16,0.42828784546979026
43,16,0.14845723355944074
33,9,0.2989596286891909
4,8,1.895727552092657
34,15,0.4563776276853017
28,10,0.18392583373158813
7,3,0.5300161573812576
20,16,0.5959083200899218
14,8,0.7536194220006065
42,9,0.19870106522264047
27,17,1.3441370906236334
30,1,0.011429347326133082
24,13,0.4802436507302024
10,2,0.2805455307395608
11,11,1.3069804542716665
12,15,1.791593155770434
11,6,0.5670337128597112
4,15,7.388877664335877
18,10,0.17647028089865424
8,8,1.1902322024036642
35,3,0.03499655996909826
30,5,0.3322947938592232
2,15,16.945093187279625
20,5,0.20908999906198478
21,14,0.7053011373734008
10,7,1.009887661956262
15,8,0.5904418683814475
3,10,2.5366533368488566
50,12,0.21399760052033884
5,3,0.3243114670608811
7,4,1.5918880245504836
30,10,0.501068137573851
22,2,0.18972927088666763
49,5,0.1568365539881926
13,1,0.21826985354287387
32,5,0.2919795282460207
33,2,0.0850073872859953
8,10,2.1767945274862397
29,15,0.7562846436412233
30,9,0.0934946729224002
23,14,0.8643902982759286
41,19,0.39889407634826446
10,14,1.0853867665175294
8,17,3.3291685760939416
6,11,2.1727626825224
31,11,0.06489500275304662
39,7,0.3248182200894689
16,7,1.0227382254051935
30,5,0.22385873070378534
9,6,0.9148361116483219
43,14,0.13331368034434196
37,19,0.5555858576995347
19,16,0.9783860733587377
43,1,0.01203383513772255
2,15,19.948481389042573
4,19,8.610108631219944
17,19,0.9548004211937513
30,4,0.3410127811954538
16,18,2.236849201983033
25,13,0.6930372817645525
13,13,0.88068828374404
28,3,0.12119473884441467
40,6,0.132553869206835
39,1,0.05235761154792827
14,12,0.6627014966388463
41,6,0.23023452748473971
32,1,0.012637116351262315
31,10,0.4346611368642214
45,12,0.3399902944307604
44,14,0.5503981600650282
38,16,0.507617634147898
40,11,0.5638909304234456
34,1,0.0615830802567807
46,14,0.14156537560577664
19,2,0.19359144253376398
49,6,0.11645310587121728
12,18,2.4539168232253363
15,10,0.9065727303846378
50,7,0.04169366985743397
22,4,0.2562991856000653
37,8,0.44520525499475566
12,19,1.6510718520012433
49,8,0.062247492006834645
17,9,0.4852420973035838
2,10,13.565946020884928
17,19,0.6785046775160049
36,16,0.9654071992815725
19,2,0.06743752472286083
33,4,0.20887643428925795
35,1,0.023740894981740743
3,14,7.4104402057797
28,11,0.4880029816421914
39,15,0.27412245618786724
17,7,0.6046897619482843
38,7,0.15959111023351638
7,15,3.3635348009743655
34,4,0.07610789107182361
39,13,0.1436902020030661
27,7,0.1436987398082183
26,2,0.08394734388626682
24,3,0.27689185147069656
4,15,9.871760702620406
27,5,0.20155793443571474
2,9,13.402850174645593
32,2,0.03355380229210879
27,1,0.06403111504601597
27,12,0.7851213091758629
50,19,0.31472307598800947
41,10,0.060746989053868966
40,7,0.08655581927524136
22,13,0.3634752146587736
47,11,0.26553320495487936
49,10,0.16661445012904344
44,14,0.2890267210630282
9,8,0.728599056227662
2,10,11.650615163894347
47,8,0.1917847590058308
11,13,1.5562095687721123
50,19,0.45933653468029695
36,1,0.004289621151201791
36,5,0.3192428082219174
19,15,1.201816688915474
45,6,0.11837184875011222
30,3,0.07069083853395292
40,12,0.27540941398979957
33,11,0.23178641991937798
12,15,0.7381240364826342
46,19,0.6673691205171366
30,8,0.31441449518654707
19,12,0.6855157136503456
28,7,0.47403508187310806
7,18,2.1683585729659676
7,9,1.3147980599656652
41,1,0.009000915640405706
36,19,0.32357703609498234
28,15,0.5856219900751802
33,7,0.06905062732203011
22,8,0.43065223796591345
49,12,0.3411256188285883
37,10,0.4139897239519632
25,11,0.6380513202571265
10,10,1.926527736266185
33,1,0.10951272690951971
26,6,0.36245513245328514
20,18,1.226923594092444
9,3,0.38637695392334215
21,15,0.33687357544167584
35,1,0.013164524963882866
35,14,0.6690574446817283
26,15,0.35310699788283856
30,16,0.2790975037432979
10,1,0.1354773826602252
18,3,0.36805106901559226
28,2,0.20589693921238295
24,2,0.04911873219018412
26,14,0.5304184590081928
40,12,0.23927785252576952
21,7,0.723015615617892
44,16,0.37432745572939835
12,14,1.3004378513483437
9,10,1.5530633377992178
21,2,0.11784888957735609
15,15,0.6160469202489864
33,15,0.6666070950777483
22,18,1.323428717604978
24,2,0.01608555304160002
16,8,0.7587712579436712
38,16,0.3480044273623979
39,15,0.6733318417987388
6,4,0.9327908807148605
40,18,0.7133700463468751
8,10,1.2669886161521913
5,19,7.766547062161135
18,14,0.888539767873036
16,19,1.5082544402655902
9,6,0.3845098974314314
10,12,1.2636874233715711
30,10,0.371582095145806
33,3,0.05205426764979056
25,15,0.48207376920671674
30,17,0.8179752437615608
5,19,2.313480355710251
3,9,4.002698200190066
32,18,0.8078082585113261
40,10,0.23527516978936708
24,5,0.31605583913687596
37,16,0.5006995654785474
11,17,1.891803818072149
32,19,1.1196313186834077
4,9,2.032344736639103
10,15,2.8423368258019375
43,7,0.11066360542471415
16,18,0.6293665297739244
20,13,0.24514554833229776
36,1,0.0549698962990174
36,6,0.23328514587831786
24,2,0.09602872941623544
50,2,0.06652952858510819
9,16,1.5018666933758325
39,9,0.360546544581424
44,4,0.1566369572414175
38,9,0.1814196342507297
48,11,0.07825645352362984
5,16,3.8978624062986427
19,14,1.1902545413445598
7,8,3.0904762832616948
16,10,0.42694260904188763
40,9,0.12508512348363968
